id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
104,Lost in America,6.9,152.0,Released,1985-02-08,10179000.0,91.0,4000000.0,tt0089504,en,Lost in America,"David and Linda Howard are successful yuppies from LA. When he gets a job disappointment, David convinces Linda that they should quit their jobs, liquidate their assets, and emulate the movie Easy Rider, spending the rest of their lives traveling around America...in a Winnebago.",1.3868,A down to earth comedy,Comedy,"Marty Katz Productions, Geffen Pictures, Warner Bros. Pictures",United States of America,English,"Brandy Rubin, Hans Wagner, Michael Greene, Art Frankel, Ernie Brown, Raynold Gideon, Pat Garrison, Byron Tong, Mark Sydney, Larry King, Priscilla Cory, Garry Marshall, Tom Tarpey, Robert Hughes, Charles Boswell, Herb Nanas, Bob Hughes, John Di Fusco, Tina Kincaid, Zeke Manners, Maggie Roswell, Radu Gavor, Sylvia Farrel, Gayle Lanza, James L. Brooks, Raul Flores, Joey Coleman, Albert Brooks, Julie Hagerty, Candy Ann Brown, David Michael Katz, Bea Manners, Donald Gibb, Michael Cornelison, Rex Reed, John Reade",Albert Brooks,Eric Saarinen,"Monica Johnson, Albert Brooks","Herb Nanas, Marty Katz",Arthur B. Rubinstein,7.0,10741.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/j7QiwUekGiYOmjKratNORIr35zg.jpg,1985,6179000.0,154.475,https://www.imdb.com/title/tt0089504/
105,Honey,6.4,1186.0,Released,2003-12-05,62646763.0,94.0,18000000.0,tt0322589,en,Honey,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",2.8975,Her dream. Her terms,"Music, Drama, Romance","NuAmerica Entertainment, Universal Pictures, Marc Platt Productions",United States of America,English,"Silkk The Shocker, Christian Monzon, Maestro, Romeo, O'Neal McKnight, Alison Sealy-Smith, Zachary Isaiah Williams, Lee Smart, Missy Elliott, Lyriq Bent, Jadakiss, Natina Reed, Richard Fagon, Laurieann Gibson, Suga May, Ivan 'Flipz' Velez, Sheek Louch, William Omar Tobar, Kevin Duhaney, Judi Embden, Damien Luvara, Rodney Jerkins, 3rd Storee, Nicole Neal, Sarah Francis, Edney Hendrickson, Jessica Alba, Jull Weber, Jordan Madley, Scott Neil, Dwayne Morgan, Shawn Newman, David Moscow, Alicia Bruce, Ginuwine, Shawn Desman, Harmonica Sunbeam, Marie Ward, Brandi Williams, Roy T. Anderson, Tracy Dawson, Shamari DeVoe, Al Shearer, Lonette McKee, Anthony Sherwood, Mekhi Phifer, Jeremy Cedeno, Joy Bryant, Evans Johnson, Fonzworth Bentley",Bille Woodruff,John R. Leonetti,"Alonzo Brown, Kim Watson","Nicole Brown, Andre Harrell, Marc Platt, Billy Higgins",Mervyn Warren,5.3,48495.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gnY6d7BoddAAQ8s42fxCJK8lL1A.jpg,2003,44646763.0,248.0375722222222,https://www.imdb.com/title/tt0322589/
106,Portrait from Life,5.9,7.0,Released,1948-12-01,1108592.0,90.0,535000.0,tt0040703,en,Portrait from Life,"A British army officer becomes fascinated by the portrait of a young woman. He travels to Germany to find her, only to discover that she is suffering from amnesia.",1.1553,"A psychological thriller, a captivating mystery, a tender love story - all brilliantly COMBINED INTO ONE EXCITING MOTION PICTURE","Drama, Mystery, Thriller, Romance","Gainsborough Pictures, J. Arthur Rank Organisation",United Kingdom,"Deutsch, English, Français","Sam Kydd, Arthur Hambling, Michael Hordern, Cyril Chamberlain, George Thorpe, Robert Beatty, Patrick Holt, Pete Murray, Richard Molinas, Eric Messiter, Guy Rolfe, Sybille Binder, Mai Zetterling, Betty Lynne, Eric Pohlmann, Philo Hauser, Anthony Steel, Donald Sinden, Hugo Schuster, Nelly Arno, Gordon Bell, John Blythe, Arnold Marlé, Herbert Lom, Dennis Harkin, Dennis Vance, Gerard Heinz, Yvonne Owen, Dorothea Glade, Charles Rolfe, Arthur Young, Thora Hird, Paul Hansard",Terence Fisher,Jack Asher,"Frank Harvey, Sydney Box, David Evans, Muriel Box","Antony Darnborough, J. Arthur Rank",Benjamin Frankel,6.7,215.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/z5QL5LNccDn2KJqZKY6RlaU62mn.jpg,1948,573592.0,107.21345794392522,https://www.imdb.com/title/tt0040703/
107,End Game,5.4,89.0,Released,2006-07-27,208101.0,93.0,5000000.0,tt0415778,en,End Game,"Alex Thomas was the man in charge of protecting the president but, when the time came to fulfill his duties, everything just went wrong. His conscience haunted by a bullet, and his devotion to his country stronger than ever, Alex teams with a seasoned reporter to navigate a treacherous web of lies, unlocking a dangerous conspiracy, and enter a deadly world in which skilled assassins and highly-trained ex-special ops lurk in every shadow.",13.625,The Assassination Was Only The Beginning.,"Action, Thriller, Crime, Drama","Nu Image, Two Sticks Productions, Martini Films, Equity Pictures Medienfonds GmbH & Co. KG III, North by Northwest Entertainment, Millennium Media","Canada, Germany, United States of America",English,"John Cenatiempo, Sydney Ortman, Kimberly Quinn, Yuji Okumoto, Jack Scalia, Anne Archer, Benito Martinez, Sarah Ann Schultz, Heather Dawn, Patrick Treadway, Jared Wagner, Clayton Hill, Cuba Gooding Jr., Brian Presley, Carsten Nørgaard, Pam Long, John V. Barbieri, Andrew Varenhorst, Troy Brown, Patrick Fabian, Christa Campbell, Todd Jensen, Maiah Wynne, Peter Greene, Burt Reynolds, James Woods, Eddie J. Fernandez, Angie Harmon, David Selby",Andy Cheng,Chuck Cohen,"J.C. Pollock, Andy Cheng","David E. Ornston, Tierre Turner, Manfred D. Heid, Boaz Davidson, Brett Ratner, Avi Lerner, Danny Dimbort, Andreas Thiesmeyer, Gerd Koechlin, Johnny Martin, Josef Lautenschlager, Richard Salvatore, Trevor Short",Kenneth Burgomaster,5.1,5811.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1fqDXE7nxsqWCng3rwlWZwzBBBn.jpg,2006,0.0,0.0,https://www.imdb.com/title/tt0415778/
108,Prime,6.0,806.0,Released,2005-09-21,67900000.0,102.0,22000000.0,tt0387514,en,Prime,"A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.",1.6792,A Therapeutic New Comedy,"Comedy, Drama, Romance","Universal Pictures, Team Todd, Prime Film Productions LLC, Younger Than You",United States of America,English,"Sebastian Sozzi, Bryan Greenberg, Eboni Summer Cooper, Shevy Gutierrez, David Younger, Mitchell Green, Michalina Scorzelli, Stella Stark, Mini Anden, Anne Joyce, Cameron Stevens, Seth Herzog, John Rothman, Jennifer Marlowe, Palmer Brown, Jason McDonald, Uma Thurman, Dennis Jay Funny, Naomi Aborn, Lotte Mandel, David Costabile, Will McCormack, Meryl Streep, Adriana Biasi, Rick Kain, Susie Kantar, David Anzuelo, Doris Belack, Mick de Lint, Stretch Armstrong, Annie Parisse, Jade Yorker, Adam LaFramboise, Zak Orth, Christopher Innvar, Jon Abrahams, Jonathan Stutzman, Judy Malka, Beth Skipp, Aubrey Dollar, James Coyle, Tadhg O'Mordha, Gil Deeble, Alex Webb, Ato Essandoh, Madhur Jaffrey, Jonathan Roumie, Ernest Dancy, Edward Nyahay, Jerry Adler, Tina Farris",Ben Younger,William Rexer,Ben Younger,"Jennifer Todd, Bob Yari, Mark Gordon, Suzanne Todd",Ryan Shore,6.2,42664.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gz17H1jiLI9OrTo8ruS31WkP9Am.jpg,2005,45900000.0,208.63636363636365,https://www.imdb.com/title/tt0387514/
109,Hunger,5.1,175.0,Released,2009-05-12,0.0,101.0,625000.0,tt1176252,en,Hunger,Five strangers face the unthinkable when they wake up and find themselves trapped. With no idea how they got there they frantically try to figure out how to escape. The disoriented group quickly realise the truth about their situation when they discover another room containing enough water to survive for 30 days… and a razor sharp surgical knife. The intention becomes quite clear. Whoever put them in this place wants to see just how long it will take before the hunger makes them commit unspeakable acts and cross a very deadly line.,1.28,How far would you go to survive?,Horror,"5 States, Global Empire Studios, Liberty Artists",United States of America,English,"Julian Rojas, Gabe Kittle, Yvonne Stancil, Ian Hopper, Lori Heuring, Bjorn Johnson, Sims Lawson, John Cooley, Kayden Sawyer, David Nicholson, Britton Partain, Laura Albyn, Kathy Shea, Joe Egender, Lea Kohl, Linden Ashby, Kevin Shaver",Steven Hentges,John Sawyer,L.D. Goffigan,F.X. Vitolo,John Califra,5.2,5862.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/c90ogtGY5k90D38ynTUBu3KWWMp.jpg,2009,0.0,0.0,https://www.imdb.com/title/tt1176252/
110,13 Hours: The Secret Soldiers of Benghazi,7.271,3658.0,Released,2016-01-14,69411370.0,144.0,50000000.0,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,11.0108,"When everything went wrong, six men had the courage to do what was right.","War, Action, History, Drama, Thriller","Paramount Pictures, 3 Arts Entertainment, Bay Films","United States of America, Malta","العربية, English","David Costabile, David Giuntoli, Mohamed Naimane, Elektra Anastasi, Payman Maadi, Steffi Thake, Freddie Stroma, Dominic Fumusa, Shane Rowe, Toby Stephens, James Badge Dale, Kerim Troeller, Rachid El Adouani, Alexia Barlier, Wrenn Schmidt, David Furr, Christopher Dingli, Pablo Schreiber, Andrew Arrabito, Matt Letscher, Ben Youcef, Manuel Cauchi, Max Martini, Kevin Kent, Liisa Evastina, John Krasinski, David Denman, Demetrius Grosse, Mike Moriarty, Ivy George, Davide Tucci, Kenny Sheard, Julia Butters, Salah Bensalah, Gábor Bodis",Michael Bay,Dion Beebe,"Mitchell Zuckoff, Chuck Hogan","Erwin Stoff, Michael Bay, Scott Gardenhour, Richard Abate, Matthew Cohan",Lorne Balfe,7.3,171652.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/AskDcQ6Sa6jImyt2KDQbgRuPebH.jpg,2016,19411370.0,38.82274,https://www.imdb.com/title/tt4172430/
111,Jamie Marks Is Dead,5.5,103.0,Released,2014-07-28,0.0,101.0,2200000.0,tt2381046,en,Jamie Marks Is Dead,"No one seemed to care about Jamie Marks until after his death. Hoping to find the love and friendship he never had in life, Jamie’s ghost visits former classmate Adam McCormick, drawing him into the bleak world between the living and the dead.",3.784,How far would you go to be remembered?,"Drama, Thriller","Mountaintop Productions, Verisimilitude",United States of America,English,"Cameron Monaghan, Fred Tolliver Jr., Andrew Polk, Lizzy DeClement, Austin Gelfman, Morgan Saylor, Ronen Rubinstein, Adrian Enscoe, Ryan Munzert, Nadia Alexander, Liv Tyler, Jordyn DiNatale, Jason Capuano, Connor Antico, Maryann Urbano, Judy Greer, Barbara Collins, Sho Suzuki, Noah Silver, Madisen Beaty, Erin Wilhelmi, Peter Pamela Rose, Brett DelBuono",Carter Smith,Darren Lew,"Carter Smith, Christopher Barzak","Jacob Jaffke, John Logan, Omri Bezalel, Marcelo Gandola, Hezi Bezalel, Hunter Gray, Michael W. Gray, Alex Orlovsky, Rachel Schnipper",François-Eudes Chanfrault,5.5,2843.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/q2hTW172Q7CSC0A5Lp6HAJ41XQr.jpg,2014,0.0,0.0,https://www.imdb.com/title/tt2381046/
112,Tremors,6.9,3328.0,Released,1990-01-19,48572000.0,96.0,11000000.0,tt0100814,en,Tremors,"Val McKee and Earl Bassett are in a fight for their lives when they discover that their desolate town has been infested with gigantic, man-eating creatures that live below the ground.",9.1808,They say there's nothing new under the sun. But under the ground…,"Horror, Action, Science Fiction, Comedy","Wilson-Maddock Production, Pacific Western, No Frills Film Production",United States of America,English,"Frank Welker, Tony Genaro, Kevin Bacon, Bibi Besch, Finn Carter, Tom Woodruff Jr., Charlotte Stewart, Fred Ward, Michael Gross, Richard Marcus, Conrad Bachmann, Reba McEntire, John Pappas, John Goodwin, Sunshine Parker, Victor Wong, Ariana Richards, Robert Jayne, Michael Dan Wagner",Ron Underwood,Alexander Gruszynski,"S.S. Wilson, Brent Maddock, Ron Underwood","S.S. Wilson, Gale Anne Hurd, Brent Maddock",Ernest Troost,7.2,158493.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg,1990,37572000.0,341.56363636363636,https://www.imdb.com/title/tt0100814/
113,Fireworks,6.6,344.0,Released,2017-08-18,26617621.0,90.0,0.0,tt6317962,ja,打ち上げ花火、下から見るか？横から見るか？,"Moshimo, Japan. The annual fireworks festival is about to take place and a group of schoolboys, arguing over whether they are round or flat when viewed from different angles, set out to find it out.",1.9254,If only I could return to that moment.,"Animation, Drama, Fantasy, Romance","SHAFT, Aniplex, jeki, Lawson Entertainment, TOHO, TOY'S FACTORY, LINE, KADOKAWA",Japan,日本語,"Mitsuru Miyamoto, Shuichi Uchida, Shin-ichiro Miki, Jun Inoue, Suzu Hirose, Kana Hanazawa, Michiko Neya, Masaki Suda, Takako Matsu, Tarusuke Shingaki, Yuki Kaji, Takahiro Sakurai, Atsumi Tanezaki, Toshiyuki Toyonaga, Shintaro Asanuma, Chiwa Saito, Mamoru Miyano, Fumihiko Tachiki, Nobuo Tobita, Konomi Kohara, Yu Shimamura, Yuumi Hirota",Nobuyuki Takeuchi,"Rei Egami, Tasuku Ozu, Takayuki Aizu","Hitoshi One, Shunji Iwai","Mitsutoshi Kubota, Keiji Ota, Genki Kawamura, Akiko Yodo, Atsuhiro Iwakami, Junnosuke Ito, Minami Ichikawa, Yoshihiro Furusawa",Satoru Kosaki,5.6,4111.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ifm8CdFjYMfEq0bLT7XwJxjZmjO.jpg,2017,26617621.0,0.0,https://www.imdb.com/title/tt6317962/
114,Conquest of the Planet of the Apes,6.2,987.0,Released,1972-06-29,9700000.0,88.0,1700000.0,tt0068408,en,Conquest of the Planet of the Apes,"In a futuristic world that has embraced ape slavery, a chimpanzee named Caesar resurfaces after almost twenty years of hiding from the authorities, and prepares for a revolt against humanity.",4.438,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,"Action, Science Fiction","APJAC Productions, 20th Century Fox",United States of America,English,"David Chow, Dick Spangler, H.M. Wynant, Joyce Haber, Ricardo Montalban, Paul Comi, Sam Chew Jr., John Dennis, William Bryant, Natalie Trundy, Jean Byron, Don Murray, Daniel Keough, Peter Eastman, Lou Wagner, James Bacon, Buck Kartalian, Hector Soucy, Francis De Sales, Hari Rhodes, Erin Fleming, Ruth Foster, Roddy McDowall, Gordon Jump, Severn Darden, Rayford Barnes, Ron Pinkard, Jeffrey Sayre, Asa Maynor, John Randolph",J. Lee Thompson,Bruce Surtees,"Paul Dehn, Pierre Boulle",Arthur P. Jacobs,Tom Scott,6.1,39125.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lZ1pUxJCO14ObrhDuxTBuYm0tjN.jpg,1972,8000000.0,470.5882352941177,https://www.imdb.com/title/tt0068408/
115,Before I Wake,6.491,1866.0,Released,2016-04-07,3295624.0,97.0,0.0,tt3174376,en,Before I Wake,An orphaned child's dreams—and nightmares—manifest physically as he sleeps.,2.3323,Fear your dreams.,"Drama, Fantasy, Horror, Thriller","MICA Entertainment, Intrepid Pictures, Demarest Films",United States of America,English,"Annabeth Gish, Scottie Thompson, Courtney Bell, Ginger McNamara, Justin Gordon, Dash Mihok, Keenen S. Crook, Kyla Deaver, Virginia Dru Bramblett, Lance E. Nichols, Jay Karnes, Dyer Scott Lumpkin, Hunter Wenzel, Jacob Tremblay, Thomas Jane, Antonio Evan Romero, Hali Everette, Kate Bosworth, Jack Teague",Mike Flanagan,Michael Fimognari,"Jeff Howard, Mike Flanagan","Sam Englebardt, Mali Elfman, William D. Johnson, Dale Armin Johnson, Julie B. May, Glenn Murray, David S. Greathouse, D. Scott Lumpkin, Michael Ilitch Jr., Trevor Macy, Lew Horwitz","Andrew Grush, Danny Elfman, Taylor Stewart",6.2,54071.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sI9neTbF3ECdpf2MpC88EMGJH13.jpg,2016,3295624.0,0.0,https://www.imdb.com/title/tt3174376/
116,Priest,6.3,134.0,Released,1995-03-24,4176932.0,99.0,0.0,tt0110889,en,Priest,The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.,2.4054,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth.","Drama, Romance","PolyGram Filmed Entertainment, BBC Film, Miramax",United Kingdom,English,"Robert Carlyle, Tom Wilkinson, Gilly Coman, Kim Johnson, Robert Pugh, Matyelok Gibbs, Kevin Knapman, Lesley Sharp, Paul Barber, James Ellis, Jimmy Gallagher, Marsha Thomason, Mauricio Venegas, Bill Dean, Rio Fanning, Valerie Lilley, Mandy Walsh, John Bennett, Christine Tremarco, Anthony Booth, Cathy Tyson, Fred Pearson, Jimmy Coleman, Linus Roache, Keith Cole",Antonia Bird,Fred Tammes,Jimmy McGovern,"Mark Shivas, George Faber",Andy Roberts,7.1,11380.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yCZ2eGJb78HzaYthNwVF8R0G6BG.jpg,1995,4176932.0,0.0,https://www.imdb.com/title/tt0110889/
117,Sky High,6.2,2335.0,Released,2005-07-29,86369815.0,99.0,35000000.0,tt0405325,en,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",5.7411,Saving The World... One Homework Assignment At A Time.,"Adventure, Comedy, Family","Max Stronghold Productions Inc., Walt Disney Pictures, Gunn Films",United States of America,English,"Khadijah Haqq McCray, Kevin Heffernan, Jason Maxim, Nicholas Braun, Jim Rash, Loren Berman, Zachry Rogers, Hans Hernke, Bruce Campbell, Tom Kenny, Jill Talley, Kurt Russell, Lucille Soong, Christopher Wynne, Vakisha Coleman, Danielle Panabaker, Lynda Carter, Cloris Leachman, Michael Angarano, Steven Strait, Malika, Amy Brown, Mary Elizabeth Winstead, Patrick Warburton, Will Harris, Kelly Vitz, Dave Foley, Kelly Preston, Kevin McDonald, Sean Gordon, Dee Jay Daniels, Jake Sandvig, Kimmy Brown, Dustin Ingram",Mike Mitchell,Shelly Johnson,"Mark McCorkle, Paul Hernandez, Bob Schooley","Andrew Gunn, Mario Iscovich, Ann Marie Sanderlin",Michael Giacchino,6.3,97869.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nBB0XNMwvYvWpo67EcxQqKMoMKf.jpg,2005,51369815.0,146.77089999999998,https://www.imdb.com/title/tt0405325/
118,Step Up,6.9,3743.0,Released,2006-08-11,114194847.0,104.0,12000000.0,tt0462590,en,Step Up,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",8.4424,Every second chance begins with a first step.,"Music, Drama, Romance, Crime","Eketahuna LLC, Touchstone Pictures, Summit Entertainment, Offspring Entertainment",United States of America,English,"Dominique Boyd, Kellie Corbett, Adam Shankman, Caitlin Gold, Frank Herzog, Sarah Satow, Emily Peachey, Tom Quinn, Kirk Jennings, Chris O'Brocki, Tara Ghassemieh, Jane Beard, Sabrina Furr, Donald Waugh, Anthony Carr, Jameson Perry, Heavy D, Channing Tatum, Leo Christopher Sheridan, Tony Devon, Jamal Sims, Reina Poindexter, JB Tadena, Kawan Kean, Emily Bicks, Tim Lacatena, Samantha Frampton, Jeannie Ortega, Rachel Griffiths, De'Shawn Washington, Richard Pelzman, Thomas W. Stewart, Zachary Woodlee, Shawn Michelle Cosby, Drew Sidora, Jeanne, George Hubela, Melissa Emrico, Stephanie Jingle, Isaiah Washington, Jenna Dewan, Deirdre Lovejoy, Natalie Steinberg, Spencer Longmore, Oscar Campisi, Lance Guillermo, Whitney Brown, Adrienne Canterna, Ashley Phipps, Jennifer Rouse, DeLon Howell, Rebecca Mejia, Michael Seresin, Noah Schaftel, Jamie Scott, Joanna Becker, Laura Edwards, Julie Nelson, Eddy Shalita, Natasha Sattler, Shiloh Monaco, Carlyncia S. Peck, Josh Henderson, Monica Warr, Denise Piane, Ryan Rankine, Alyson Stoner, Karim Fawzy, Mario, Donald Rheubottom, John Alix, Sara Cato, Jiehae Park, Samantha Zweben, Ashley Canterna, Caitlin Kinney, Ryan Sands, Anne Fletcher, Antonio Hudnell, Angelica Huesca, Sheila Cutchlow, Frank Ferrara Sr., John Leslie Wolfe, Nikkia Parish, Damaine Radcliff",Anne Fletcher,Michael Seresin,"Duane Adler, Melissa Rosenberg","David Garrett, Adam Shankman, Patrick Wachsberger, Bob Hayward, John H. Starke, Jennifer Gibgot, Erik Feig",Aaron Zigman,6.5,130617.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fmw52kXk2kN8AQil7tgOD41gt4Q.jpg,2006,102194847.0,851.6237249999999,https://www.imdb.com/title/tt0462590/
